Unique_ID,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Density_Nm2,Region,Trophic,Group,Genus,Reference,Notes
19,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.000137853,"Sabie River, Kruger NP, South Africa; 1975",Herbivore,Eutherian,Aepyceros,Bailey 1993; Dry season averages from 1973-1975; p. 58,
20,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.00000189,"Savuti area of Chobe National Park, Botswana; 1991",Herbivore,Eutherian,Aepyceros,Viljoen 1993,
21,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,1.86325E-06,"Nairobi National Park, Kenya; 2002",Herbivore,Eutherian,Aepyceros,Nairobi National Park Research and Development; 2003-2004 Annual Report,
22,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.0000024,"Ngorongoro Crater, Tanzania; 1965",Herbivore,Eutherian,Aepyceros,from 1991; Campbell and Borner 1995 in Sinclair 1995 p. 122,
23,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.0000024,"Ngorongoro Crater, Tanzania; 1978",Herbivore,Eutherian,Aepyceros,from 1991; Campbell and Borner 1995 in Sinclair 1995 p. 122,
24,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.0000024,"Ngorongoro Crater, Tanzania; 1988",Herbivore,Eutherian,Aepyceros,from 1991; Campbell and Borner 1995 in Sinclair 1995 p. 122,
25,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,2.9824E-06,"Serengeti ecosystem, Tanzania; 1993",Herbivore,Eutherian,Aepyceros,Campbell and Borner 1995 in Sinclair 1995 – p. 123,
26,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,3.62768E-06,"Serengeti ecosystem, Tanzania; 2003",Herbivore,Eutherian,Aepyceros,Sinclair et al. 2008,
27,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,7.1301E-07,"Tarangire National Park, Tanzania; 1962",Herbivore,Eutherian,Aepyceros,Lamprey 1963,
28,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,1.84195E-06,"Tarangire National Park, Tanzania; 1962",Herbivore,Eutherian,Aepyceros,Lamprey 1963,
29,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,3.1719E-07,"Tarangire National Park, Tanzania; 2000",Herbivore,Eutherian,Aepyceros,TWCM 2000; Caro 1998 would estimate 2216 from reported density; East 1998 p. 420 estimates 3880,
30,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,5.36905E-06,"Lake Manyara National Park, Tanzania; 1970",Herbivore,Eutherian,Aepyceros,Prins and Douglas-Hamilton 1990; Schaller 1972 p. 429 estimates 700,
31,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,2.27273E-06,"Lake Manyara National Park, Tanzania; 1992",Herbivore,Eutherian,Aepyceros,TANAPA 2002,
32,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,5.92435E-06,"Masai Mara National Reserve, Kenya; 1992",Herbivore,Eutherian,Aepyceros,Broten and Said 1995 in Sinclair 1995 p. 178-181 MMR; Average of 1989-1991,
33,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,5.5424E-06,"Masai Mara National Reserve, Kenya; 2003",Herbivore,Eutherian,Aepyceros,"Reid et al. 2003; The Mara Count. Summed over the three blocks totalling 1234 km2, adjusted for the 1500 km2 reserve (ie. multiplied by 1.2)",
34,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,1.849E-07,"Mkomazi Game Reserve, Tanzania; 1970",Herbivore,Eutherian,Aepyceros,Harris 1972,
35,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,5.18852E-06,"Nairobi National Park, Kenya; 1966",Herbivore,Eutherian,Aepyceros,Schaller 1972 p. 429; Foster and Kearney 1967,
36,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,3.60556E-06,"Nairobi National Park, Kenya; 1976",Herbivore,Eutherian,Aepyceros,EcoSystems 1982; p.82; Average of 1974-1976,
37,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.00000552,"Savuti area of Chobe National Park, Botswana; 1991",Herbivore,Eutherian,Aepyceros,Viljoen 1993,
38,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,6.7636E-07,"Selous Game Reserve, Tanzania; 1994",Herbivore,Eutherian,Aepyceros,TWCM 1994 in Creel and Creel 2002 p. 21,
39,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.0000026,"Serengeti ecosystem, Tanzania; 1971",Herbivore,Eutherian,Aepyceros,Schaller 1972 p. 428; 70000- Kruuk 1972 p. 83,
40,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.000004764,"Serengeti ecosystem, Tanzania; 1977",Herbivore,Eutherian,Aepyceros,Houston 1979 in Sinclair and Norton-Griffiths 1979 p. 264,
41,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.00000449,"Serengeti ecosystem, Tanzania; 1986",Herbivore,Eutherian,Aepyceros,linear interpolated from Caro 1994 p. 24 (109677; 1989) and Houston 1979 in Sinclair and Norton-Griffiths 1979 p. 264 (119100; 1978),
42,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.00000022,"Amboseli National Park, Kenya; 2007",Herbivore,Eutherian,Aepyceros,van der Werf 2008; from average of densities over 6 locations from Oct-Jan 2007-08; KWS TAWIRI 2010 estimates 426 in Amboseli area of 8797 km2,
43,1,1,Mammal,Artiodactyla,Aepyceros melampus,52400,0.0000131,Unknown,Herbivore,Eutherian,Aepyceros,"Bourliere 1962; Bourliere 1965; Dasmann 1962; Dasmann 1962; Dowsett 1966; Foster 1967; Foster 1968; Grimsdell 1979; Hendrichs 1970; Hirst 1975; Jarman 1971; Koeman 1969; Lamprey 1964; Leuthold 1976; Monfort 1972; Robinette 1964; Sinclair 1972; Spinage 1972; in Damuth 1987 (Ref: 66, 67, 141, 142, 160, 223, 224, 265, 293, 298, 326, 368, 386, 404, 463, 569, 609, 626 )",
44,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,158000,0.00000206,Unknown,Herbivore,Eutherian,Alcelaphus,"Blankenship 1972; Bourliere 1962; Dowsett 1966; Foster 1967; Foster 1968; Green 1979; Grimsdell 1979; Hendrichs 1970; Koeman 1969; Lamprey 1964; Leuthold 1976; Ross 1976; Sinclair 1972; Stewart 1963; Van Lavieren 1977; in Damuth 1987 (Ref: 57, 66, 160, 223, 224, 261, 265, 293, 368, 386, 404, 576, 609, 631, 675 )",
45,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,5.942E-08,"Tarangire National Park, Tanzania; 1962",Herbivore,Eutherian,Alcelaphus,Lamprey 1963,
46,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,2.9754E-07,"Tarangire National Park, Tanzania; 2000",Herbivore,Eutherian,Alcelaphus,TWCM 2000; Caro 1998 would estimate 867 from reported density ,
47,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,2.3767E-07,"Tarangire National Park, Tanzania; 1962",Herbivore,Eutherian,Alcelaphus,Lamprey 1963,
48,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,0.000000888,"Serengeti ecosystem, Tanzania; 1986",Herbivore,Eutherian,Alcelaphus,Linear interpolated from Caro 1994 p. 24 (22771; 1989) and Houston 1979 in Sinclair and Norton-Griffiths 1979 p. 264 (20700; 1978),
49,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,5.5084E-07,"Serengeti ecosystem, Tanzania; 1993",Herbivore,Eutherian,Alcelaphus,Campbell and Borner 1995 in Sinclair 1995 – p. 123,
50,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,6.4172E-07,"Serengeti ecosystem, Tanzania; 2003",Herbivore,Eutherian,Alcelaphus,Sinclair et al. 2008,
51,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,0.0000015,"Nairobi National Park, Kenya; 1976",Herbivore,Eutherian,Alcelaphus,EcoSystems 1982; p.82; Average of 1974-1976,
52,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,2.4359E-06,"Nairobi National Park, Kenya; 2002",Herbivore,Eutherian,Alcelaphus,Nairobi National Park Research and Development; 2003-2004 Annual Report,
53,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,1.9423E-07,"Ngorongoro Crater, Tanzania; 1965",Herbivore,Eutherian,Alcelaphus,from model: 0.5 x N(t) + 0.25 x N(t-1) + 0.25 x N(t+1); Runyoro et al. 1995 in Sinclair 1995 p. 162-165; Avg of repeated census,
54,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,6.5481E-07,"Ngorongoro Crater, Tanzania; 1978",Herbivore,Eutherian,Alcelaphus,from model: 0.5 x N(t) + 0.25 x N(t-1) + 0.25 x N(t+1); Runyoro et al. 1995 in Sinclair 1995 p. 162-165; Avg of repeated census,
55,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,4.125E-07,"Ngorongoro Crater, Tanzania; 1988",Herbivore,Eutherian,Alcelaphus,from model: 0.5 x N(t) + 0.25 x N(t-1) + 0.25 x N(t+1); Runyoro et al. 1995 in Sinclair 1995 p. 162-165; Avg of repeated census,
56,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,4.5308E-07,"Ngorongoro Crater, Tanzania; 1997",Herbivore,Eutherian,Alcelaphus,From average of data from 1988 to 1992; Runyoro et al. 1995 in Sinclair 1995 p. 162-165; Avg of repeated census,
57,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,4.5308E-07,"Ngorongoro Crater, Tanzania; 2004",Herbivore,Eutherian,Alcelaphus,From average of data from 1988 to 1992; Runyoro et al. 1995 in Sinclair 1995 p. 162-165; Avg of repeated census,
58,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,0.000000322,"Pilanesburg National Park, South Africa; 2000",Herbivore,Eutherian,Alcelaphus,Red Hartebeest; van Dyk Slotow 2003; Appendix 1,
59,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,2.7025E-07,"Selous Game Reserve, Tanzania; 1994",Herbivore,Eutherian,Alcelaphus,East 1998 p. 416; Lichtenstein's hartebeest,
60,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,0.00000072,"Serengeti ecosystem, Tanzania; 1971",Herbivore,Eutherian,Alcelaphus,Schaller 1972 p. 428; 20000- Kruuk 1972 p. 83,
61,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,0.000000828,"Serengeti ecosystem, Tanzania; 1977",Herbivore,Eutherian,Alcelaphus,Houston 1979 in Sinclair and Norton-Griffiths 1979 p. 264,
62,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,5.283E-08,"Etosha National Park, Namibia; 1998",Herbivore,Eutherian,Alcelaphus,Data from 1995; East 1998 p. 416; Red Hartebeest,
63,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,6.9301E-07,"Masai Mara National Reserve, Kenya; 1992",Herbivore,Eutherian,Alcelaphus,Broten and Said 1995 in Sinclair 1995 p. 178-181 MMR; Average of 1989-1991,
64,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,0.00000034,"Masai Mara National Reserve, Kenya; 2003",Herbivore,Eutherian,Alcelaphus,"Reid et al. 2003; The Mara Count. Summed over the three blocks totalling 1234 km2, adjusted for the 1500 km2 reserve (ie. multiplied by 1.2)",
65,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,3.0817E-07,"Mkomazi Game Reserve, Tanzania; 1970",Herbivore,Eutherian,Alcelaphus,Harris 1972,
66,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,8.97541E-06,"Nairobi National Park, Kenya; 1966",Herbivore,Eutherian,Alcelaphus,Schaller 1972 p. 429; Foster and Kearney 1967,
67,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,1.5868E-07,"Kalahari National Park, South Africa; 1979",Herbivore,Eutherian,Alcelaphus,Mills 1990 p. 279; digitised from plot,
68,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,2.4883E-07,"Katavi National Park, Tanzania; 2009",Herbivore,Eutherian,Alcelaphus,Kiffner et al. 2009; from Density estimates,
69,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,2.6154E-07,"Amboseli National Park, Kenya; 2007",Herbivore,Eutherian,Alcelaphus,KWS TAWIRI 2010; p. 45; Wet season 2007 estimate in surrounding dispersal area of 8797 km2,
70,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,4.545E-08,"Lake Manyara National Park, Tanzania; 1992",Herbivore,Eutherian,Alcelaphus,From Weyerhaeuser 1982,
71,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,125000,1.491E-07,"Kidepo Valley National Park, Uganda; 2009",Herbivore,Eutherian,Alcelaphus,WCS 2008,
72,1,1,Mammal,Artiodactyla,Alces alces,400000,0.0000001,Primary boreal forest,Herbivore,Eutherian,Alces,Semionov 1982; in Makarieva 2004 Table 1,
73,1,1,Mammal,Artiodactyla,Alces alces,400000,0.00000011,Primary boreal forest,Herbivore,Eutherian,Alces,Mosheva 2000; in Makarieva 2004 Table 1,
74,1,1,Mammal,Artiodactyla,Alces alces,403000,0.00000072,Unknown,Herbivore,Eutherian,Alces,"Adamovitch 1973; Briederman 1971; Evans 1966; Irwin 1975; Jordan 1970; Kearney 1976; Knowlton 1960; Krasinski 1978; Morow 1975; Peek 1974; Pielowski 1969; Pimlott 1961; Serafinski 1969; French 1979; in Damuth 1987 (Ref: 4, 74, 199, 319, 335, 343, 367, 374, 468, 518, 532, 535, 603, 728)",
75,1,1,Mammal,Artiodactyla,Alces alces,320000,0.0000013,Northwest Alberta; 1979-1980,Herbivore,Eutherian,Alces,Bjorge and Gunson 1989 ; cited in Messier 1994,
76,1,1,Mammal,Artiodactyla,Alces alces,320000,0.0000003,Northwest Ontario; 1975-1979 ,Herbivore,Eutherian,Alces,Bergerud et al. 1983 ; cited in Messier 1994,
77,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000023,Southwest Quebec; 1980-1984,Herbivore,Eutherian,Alces,"Messier 1985, Messier and Crete 1985 ; cited in Messier 1994",
78,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000037,Southwest Quebec; 1980-1984 ,Herbivore,Eutherian,Alces,"Messier 1985, Messier and Crete 1985 ; cited in Messier 1994",
79,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000042,"Teslin burn, Yukon; 1984",Herbivore,Eutherian,Alces,"Hayes and Baer 1986, Gasaway et al. 1992 ; cited in Messier 1994",
80,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000173,"Isle Royale, Michigan ; 1966-1970",Herbivore,Eutherian,Alces,"Jordan et al. 1967, Peterson and Page 1988, Wolfe and Allen 1973; cited in Messier 1994",
81,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000249,"Isle Royale, Michigan ; 1986-1990",Herbivore,Eutherian,Alces,"Peterson and Page 1988, R. 0. Peterson, unpublished manuscript; cited in Messier 1994",
82,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000014,"Mayo, Yukon; 1988",Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
83,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000013,"Nisutlin, Yukon; 1986",Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
84,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000023,Northeast Alberta ; 1975-1978,Herbivore,Eutherian,Alces,Fuller and Keith 1980 ; cited in Messier 1994,
85,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000033,South-central Alaska; 1975,Herbivore,Eutherian,Alces,"Ballard et al. 1987, Ballard et al. 1991 ; cited in Messier 1994",
86,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000017,Southwest Quebec; 1980-1984,Herbivore,Eutherian,Alces,"Messier 1985, Messier and Crete 1985 ; cited in Messier 1994",
87,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000011,"Aishihik, Yukon; 1981",Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
88,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000004,"Carmacks, Yukon ; 1982",Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
89,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000009,Central Alaska; 1986,Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
90,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000018,Central Alaska; 1976,Herbivore,Eutherian,Alces,Gasaway et al. 1983 ; cited in Messier 1994,
91,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000019,Central Alaska; 1986-1987,Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
92,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000019,Central Alaska; 1980,Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
93,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000019,Central Alaska; 1986,Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
94,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000000064,"Dromedary Mountain, Yukon ; 1982",Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
95,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000009,East Alaska; 1981,Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
96,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000012,East Alaska; 1987,Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
97,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000014,East Alaska; 1990,Herbivore,Eutherian,Alces,Gasaway et al. 1992 ; cited in Messier 1994,
98,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000022,"East Denali National Park, Alaska; 1984",Herbivore,Eutherian,Alces,"Singer and Dalle-Molle 1985, Singer 1987 ; cited in Messier 1994",
99,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000027,"East Denali National Park, Alaska; 1966-1974",Herbivore,Eutherian,Alces,"Singer and Dalle-Molle 1985, Van Ballenberghe 1987 ; cited in Messier 1994",
100,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000001,"Isle Royale, Michigan ; 1959-1960",Herbivore,Eutherian,Alces,"Mech 1966, Jordan et al. 1967, Peterson and Page 1988 ; cited in Messier 1994",
101,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000111,"Isle Royale, Michigan ; 1976-1980 ",Herbivore,Eutherian,Alces,Peterson and Page 1988 ; cited in Messier 1994,
102,1,1,Mammal,Artiodactyla,Alces alces,320000,0.0000012,"Isle Royale, Michigan ; 1961-1965",Herbivore,Eutherian,Alces,"Mech 1966, Jordan et al. 1967, Peterson and Page 1988 ; cited in Messier 1994",
103,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000137,"Isle Royale, Michigan ; 1981-1985 ",Herbivore,Eutherian,Alces,Peterson and Page 1988 ; cited in Messier 1994,
104,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000141,"Isle Royale, Michigan ; 1971-1975",Herbivore,Eutherian,Alces,"Peterson 1977, Peterson and Page 1988 ; cited in Messier 1994",
105,1,1,Mammal,Artiodactyla,Alces alces,320000,0.0000003,Southern Quebec ; 1980-84 ,Herbivore,Eutherian,Alces,Potvin 1988; cited in Fuller 1989,
106,1,1,Mammal,Artiodactyla,Alces alces,320000,0.0000008,Southwest Manitoba ; 1975-78,Herbivore,Eutherian,Alces,"Carbyn 1982, 1983; cited in Fuller 1989",
107,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000000164,"Denali Park, Alaska; 1966-74",Herbivore,Eutherian,Alces,Haber 1977; cited in Fuller 1989,
108,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000000094,"Denali Park, Alaska; 1984-85",Herbivore,Eutherian,Alces,Singer and Dalle-Molle 1985; cited in Fuller 1989,
109,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000000169,East-central Ontario ; 1958-64 ,Herbivore,Eutherian,Alces,Pimlott et al. 1969; cited in Fuller 1989,
110,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000000154,East-central Ontario ; 1969,Herbivore,Eutherian,Alces,"Pimlottet al. 1969, Kolenosky 1972; cited in Fuller 1989",
111,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000000185,Interior Alaska; 1975-78,Herbivore,Eutherian,Alces,Gasaway et al. 1983; cited in Fuller 1989,
112,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000001762,"Isle Royale, Michigan ; 1984-86",Herbivore,Eutherian,Alces,Peterson and Page 1988; cited in Fuller 1989,
113,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000001616,"Isle Royale, Michigan ; 1970-74",Herbivore,Eutherian,Alces,Peterson 1977; cited in Fuller 1989,
114,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000008,"Jasper Park, Alberta; 1969-72",Herbivore,Eutherian,Alces,Carbyn 1974; cited in Fuller 1989,
115,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000002,North-central Minnesota ; 1980-86 ,Herbivore,Eutherian,Alces,"Fuller 1989, unpubl. data; cited in Fuller 1989",
116,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000000225,Northeast Alberta ; 1975-77,Herbivore,Eutherian,Alces,"Fuller and Keith 1980, 1981b; Hauge and Keith 1981; cited in Fuller 1989",
117,1,1,Mammal,Artiodactyla,Alces alces,320000,0.0000007,Northeast Minnesota; 1970-71,Herbivore,Eutherian,Alces,Van Ballenberghe et al. 1975; cited in Fuller 1989,
118,1,1,Mammal,Artiodactyla,Alces alces,320000,0.0000006,Northeast Minnesota; 1967-69,Herbivore,Eutherian,Alces,"Mech et al. 1971b, Peek et al. 1976, Nelson and Mech 1986b; cited in Fuller 1989",
119,1,1,Mammal,Artiodactyla,Alces alces,320000,0.00000055,Northeast Minnesota; 1976-84,Herbivore,Eutherian,Alces,Mech 1986; Nelson and Mech 1986 ab; MDNR files; cited in Fuller 1989,
120,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000000386,Northeast Minnesota ; 1946-53 ,Herbivore,Eutherian,Alces,Stenlund 1955; cited in Fuller 1989,
121,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000000296,South-central Ontario; 1975-79,Herbivore,Eutherian,Alces,Bergerud et al. 1983; cited in Fuller 1989,
122,1,1,Mammal,Artiodactyla,Alces alces,320000,0.0000003,Southwest Quebec ; 1980-84 ,Herbivore,Eutherian,Alces,Messier and Crete 1985 ; cited in Fuller 1989,
123,1,1,Mammal,Artiodactyla,Alces alces,320000,0.000000062,West-central Yukon; 1985-86,Herbivore,Eutherian,Alces,Sumanik 1987; cited in Fuller 1989,
124,1,1,Mammal,Artiodactyla,Ammodorcas clarkei,31000,0.00000083,Unknown,Herbivore,Eutherian,Ammodorcas,Schomber 1964; in Damuth 1987 (Ref: 597),
125,1,1,Mammal,Artiodactyla,Antidorcas marsupialis,31800,0.00000465,Unknown,Herbivore,Eutherian,Antidorcas,"David 1978; Mason 1976; in Damuth 1987 (Ref: 144, 440)",
126,1,1,Mammal,Artiodactyla,Antidorcas marsupialis,31900,0.000000292,"Pilanesburg National Park, South Africa; 2000",Herbivore,Eutherian,Antidorcas,Springbok; van Dyk Slotow 2003; Appendix 1,
